,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hilo,20,US,1573073908,62,19.71,-155.08,84.2,6.93
1,kavieng,100,PG,1573073908,79,-2.57,150.8,82.27,12.64
2,east london,91,ZA,1573073909,77,-33.02,27.91,68.95,12.93
3,borgarnes,100,IS,1573073909,64,64.54,-21.92,35.6,12.75
4,rikitea,23,PF,1573073909,79,-23.12,-134.97,76.28,3.11
5,nikolskoye,100,RU,1573073909,68,59.7,30.79,28.99,11.18
6,samarai,100,PG,1573073909,96,-10.62,150.67,74.43,3.85
7,bethel,90,US,1573073732,90,60.79,-161.76,33.8,13.87
8,dingle,100,PH,1573073910,91,11.0,122.67,73.98,5.61
9,jinchang,69,CN,1573073910,82,38.52,102.19,35.64,2.39
10,hithadhoo,100,MV,1573073910,69,-0.6,73.08,81.84,5.84
11,mar del plata,74,AR,1573073910,22,-46.43,-67.52,58.78,30.98
12,barrow,0,AR,1573073912,39,-38.31,-60.23,80.78,14.25
13,vaini,87,IN,1573073912,93,15.34,74.49,67.5,1.25
14,mataura,100,NZ,1573073913,82,-46.19,168.86,57.99,1.99
15,malanje,100,AO,1573073913,91,-9.54,16.35,66.06,2.42
16,port lincoln,32,AU,1573073914,71,-34.72,135.86,56.73,16.67
17,dikson,0,RU,1573073914,93,73.51,80.55,-10.13,13.24
18,ritchie,1,ZA,1573073914,56,-29.03,24.6,69.8,6.93
19,ushuaia,90,AR,1573073762,93,-54.81,-68.31,37.4,39.15
20,saskylakh,0,RU,1573073914,97,71.97,114.09,-19.0,6.51
21,cape town,75,ZA,1573073914,59,-33.93,18.42,62.01,12.75
22,meulaboh,100,ID,1573073914,83,4.14,96.13,78.89,10.76
23,lagoa,75,PT,1573073915,67,37.14,-8.45,64.0,6.93
24,bredasdorp,74,ZA,1573073915,58,-34.53,20.04,60.01,19.46
25,nemuro,78,JP,1573073915,72,43.32,145.57,41.0,16.02
26,dawei,86,MM,1573073915,75,14.07,98.19,81.59,11.05
27,ponta do sol,72,BR,1573073915,82,-20.63,-46.0,73.62,10.71
28,nome,1,US,1573073915,44,30.04,-94.42,80.6,8.05
29,punta arenas,20,CL,1573073916,60,-53.16,-70.91,46.4,32.21
30,busselton,67,AU,1573073916,66,-33.64,115.35,53.01,10.04
31,cabo san lucas,75,MX,1573073677,74,22.89,-109.91,87.8,11.41
32,puerto ayora,24,EC,1573073916,88,-0.74,-90.35,71.01,5.01
33,albany,1,US,1573073881,41,42.65,-73.75,48.99,5.82
34,constitucion,75,MX,1573073917,33,23.99,-104.67,77.0,4.7
35,cabedelo,40,BR,1573073917,74,-6.97,-34.84,80.6,10.29
36,kumluca,0,TR,1573073917,66,36.37,30.29,62.73,2.98
37,sakaiminato,40,JP,1573073918,81,35.55,133.23,50.0,6.93
38,atuona,14,PF,1573073918,73,-9.8,-139.03,80.96,18.01
39,alexandria,100,RO,1573073833,85,43.97,25.33,51.01,6.53
40,siljan,90,NO,1573073918,79,59.29,9.71,28.0,9.17
41,coahuayana,7,MX,1573073918,58,18.62,-100.35,86.11,2.42
42,lebu,59,ET,1573073918,74,8.96,38.73,51.26,2.55
43,pundaguitan,100,PH,1573073919,71,6.37,126.17,82.47,13.0
44,zhezkazgan,44,KZ,1573073919,39,47.8,67.71,31.71,8.1
45,saint george,40,GR,1573073919,72,39.45,22.34,60.8,3.71
46,kaitangata,100,NZ,1573073919,82,-46.28,169.85,59.0,1.99
47,kachiry,100,KZ,1573073920,92,53.07,76.1,32.47,13.33
48,kodiak,1,US,1573073920,45,39.95,-94.76,66.99,5.82
49,chazuta,40,PE,1573073920,100,-6.57,-76.13,62.6,9.17
50,arkhipo-osipovka,0,RU,1573073920,72,44.37,38.53,52.84,2.24
51,ostrovnoy,99,RU,1573073920,80,68.05,39.51,23.31,4.72
52,norman wells,75,CA,1573073920,84,65.28,-126.83,8.6,12.75
53,tortoli,5,IT,1573073921,54,39.93,9.66,59.0,13.87
54,townsville,20,AU,1573073921,73,-19.26,146.82,75.99,8.05
55,tiksi,86,RU,1573073921,97,71.64,128.87,-10.9,3.18
56,atar,0,MR,1573073921,35,20.52,-13.05,73.04,7.74
57,lompoc,1,US,1573073921,38,34.64,-120.46,75.99,9.17
58,awbari,2,LY,1573073922,21,26.59,12.77,75.43,2.08
59,hermanus,17,ZA,1573073922,69,-34.42,19.24,60.01,15.01
60,umiray,31,PH,1573073922,90,15.22,121.41,73.72,0.34
61,kapaa,40,US,1573073922,74,22.08,-159.32,82.4,17.22
62,katherine,73,AU,1573073923,43,-14.47,132.26,73.4,6.93
63,port alfred,99,ZA,1573073923,93,-33.59,26.89,63.0,3.0
64,khatanga,0,RU,1573073923,81,71.98,102.47,-7.16,9.37
65,biltine,0,TD,1573073923,12,14.53,20.93,80.67,11.3
66,jamestown,90,AU,1573073921,73,-33.21,138.6,51.22,15.23
67,coquimbo,75,CL,1573073924,82,-29.95,-71.34,59.0,11.41
68,qaanaaq,0,GL,1573073924,57,77.48,-69.36,0.52,7.63
69,sitka,100,US,1573073924,50,37.17,-99.65,63.0,1.01
70,clyde river,90,CA,1573073924,100,70.47,-68.59,21.2,11.41
71,bathsheba,40,BB,1573073924,74,13.22,-59.52,84.2,25.28
72,praia da vitoria,75,PT,1573073924,88,38.73,-27.07,62.6,2.04
73,codrington,0,AU,1573073924,93,-28.95,153.24,66.99,6.93
74,matara,48,BI,1573073925,84,-3.48,29.48,59.2,3.65
75,takoradi,79,GH,1573073925,84,4.89,-1.75,80.64,8.48
76,cayenne,90,GF,1573073925,94,4.94,-52.33,78.8,1.12
77,arraial do cabo,75,BR,1573073925,78,-22.97,-42.02,77.0,6.93
78,jardim,71,BR,1573073925,77,-21.48,-56.15,79.45,6.35
79,cap malheureux,40,MU,1573073925,83,-19.98,57.61,75.2,8.05
80,nuuk,20,GL,1573073926,92,64.17,-51.74,28.4,8.05
81,nipawin,75,CA,1573073926,66,53.36,-104.02,15.8,14.99
82,porto novo,75,BR,1573073927,73,-23.68,-45.44,71.6,14.99
83,te anau,51,NZ,1573073927,88,-45.41,167.72,48.34,4.72
84,kruisfontein,100,ZA,1573073927,76,-34.0,24.73,60.1,13.96
85,barroso,90,BR,1573073927,78,-23.67,-46.22,73.4,8.05
86,bluff,0,AU,1573073927,68,-23.58,149.07,67.06,2.93
87,les cayes,9,HT,1573073928,73,18.19,-73.75,83.84,12.37
88,rio grande,0,BR,1573073677,49,-32.03,-52.1,73.4,11.41
89,fortuna,90,US,1573073928,100,40.6,-124.16,64.99,4.7
90,hami,0,CN,1573073928,32,42.84,93.51,46.45,3.96
91,nong chik,100,TH,1573073928,77,6.84,101.18,80.47,4.99
92,aklavik,90,CA,1573073928,71,68.22,-135.01,15.8,5.82
93,erenhot,0,CN,1573073929,45,43.65,111.97,30.16,2.39
94,castro,75,CL,1573073843,82,-42.48,-73.76,55.4,10.29
95,palenque,75,MX,1573073929,62,17.51,-91.98,87.8,5.86
96,huarmey,0,PE,1573073929,50,-10.07,-78.15,74.73,8.9
97,iqaluit,20,CA,1573073774,78,63.75,-68.52,10.4,13.87
98,naze,75,NG,1573073929,94,5.43,7.07,77.0,4.34
99,thompson,40,CA,1573073929,60,55.74,-97.86,8.6,6.93
100,port blair,100,IN,1573073685,80,11.67,92.75,82.53,21.59
101,pacifica,1,US,1573073930,52,37.61,-122.49,75.0,5.82
102,avarua,9,CK,1573073930,73,-21.21,-159.78,77.0,4.7
103,alta floresta,36,BR,1573073930,64,-9.87,-56.08,86.79,4.03
104,victoria,75,BN,1573073930,88,5.28,115.24,78.8,2.24
105,port-cartier,75,CA,1573073930,50,50.03,-66.88,30.0,25.28
106,nanortalik,2,GL,1573073931,74,60.14,-45.24,32.09,6.64
107,dudinka,75,RU,1573073931,85,69.41,86.18,14.0,13.42
108,santiago del estero,13,AR,1573073931,42,-27.8,-64.26,84.0,4.56
109,paamiut,0,GL,1573073931,46,61.99,-49.67,29.71,9.33
110,cherskiy,100,RU,1573073931,82,68.75,161.3,27.16,8.99
111,ribeira grande,75,PT,1573073932,82,38.52,-28.7,62.6,6.93
112,mehamn,75,NO,1573073932,100,71.03,27.85,28.4,8.05
113,axim,100,GH,1573073932,93,4.87,-2.24,76.78,3.0
114,sistranda,20,NO,1573073932,63,63.73,8.83,28.99,5.82
115,tuatapere,100,NZ,1573073932,82,-46.13,167.69,57.99,1.99
116,preobrazheniye,99,RU,1573073932,80,42.9,133.91,29.16,4.0
117,dunedin,100,NZ,1573073932,77,-45.87,170.5,62.01,1.01
118,port shepstone,98,ZA,1573073933,80,-30.74,30.45,71.2,7.45
119,avera,1,US,1573073933,49,33.19,-82.53,75.2,5.82
120,esperance,90,AU,1573073934,81,-33.86,121.89,53.6,8.05
121,rodez,75,FR,1573073934,100,44.35,2.57,50.0,4.7
122,puerto princesa,100,PH,1573073934,91,9.74,118.73,72.59,4.21
123,zilupe,100,RU,1573073934,91,56.39,28.12,35.33,6.13
124,srednekolymsk,100,RU,1573073935,94,67.46,153.71,10.74,6.64
125,hervey bay,2,AU,1573073935,77,-25.3,152.85,73.99,6.93
126,komsomolskiy,63,RU,1573073935,97,67.55,63.78,4.24,4.81
127,hobart,75,AU,1573073702,65,-42.88,147.33,46.4,18.34
128,toropets,100,RU,1573073935,94,56.5,31.64,32.43,2.66
129,pacific grove,1,US,1573073935,37,36.62,-121.92,75.99,11.14
130,ankang,3,CN,1573073936,95,32.73,108.99,45.84,0.89
131,mazagao,40,BR,1573073936,52,-0.12,-51.29,93.2,12.75
132,yukamenskoye,100,RU,1573073936,96,57.89,52.24,44.38,9.78
133,san patricio,24,PY,1573073857,57,-26.98,-56.83,85.3,6.62
134,kahului,20,US,1573073936,61,20.89,-156.47,84.2,11.41
135,teya,40,MX,1573073936,62,21.05,-89.07,87.8,9.17
136,san quintin,99,PH,1573073936,93,17.54,120.52,72.75,4.94
137,broome,100,GB,1573073937,93,52.47,1.45,46.0,4.7
138,chuy,51,UY,1573073937,65,-33.69,-53.46,67.77,3.74
139,mount gambier,40,AU,1573073937,93,-37.83,140.78,50.0,16.11
140,geraldton,90,CA,1573073937,78,49.72,-86.95,17.6,11.41
141,bone,75,DE,1573073938,100,51.97,12.14,46.99,4.7
142,salalah,2,OM,1573073938,69,17.01,54.1,80.6,3.36
143,talnakh,75,RU,1573073938,85,69.49,88.39,14.0,13.42
144,huaral,75,PE,1573073938,68,-11.5,-77.21,69.8,6.93
145,lagos,20,NG,1573073935,94,6.46,3.39,78.8,12.08
146,carnarvon,30,ZA,1573073938,37,-30.97,22.13,57.18,15.88
147,new norfolk,75,AU,1573073938,65,-42.78,147.06,46.4,18.34
148,egvekinot,21,RU,1573073939,84,66.32,-179.17,8.76,9.26
149,xicotencatl,24,MX,1573073939,38,23.02,-98.88,88.0,4.0
150,juneau,90,US,1573073815,93,58.3,-134.42,39.0,3.24
151,tuktoyaktuk,90,CA,1573073939,79,69.44,-133.03,21.2,6.93
152,baijiantan,100,CN,1573073939,86,45.63,85.18,42.3,3.38
153,hasaki,20,JP,1573073940,100,35.73,140.83,46.4,4.7
154,sao felix do xingu,100,BR,1573073940,50,-6.64,-51.99,87.53,2.53
155,bilma,0,NE,1573073940,18,18.69,12.92,77.43,6.11
156,padang,15,ID,1573073824,88,-0.92,100.36,64.45,2.57
157,emerald,9,AU,1573073940,63,-23.53,148.16,66.0,3.36
158,mahebourg,40,MU,1573073940,83,-20.41,57.7,75.2,8.05
159,medowie,0,AU,1573073941,45,-32.73,151.85,75.99,1.01
160,lasa,0,CY,1573073941,63,34.92,32.53,66.2,8.05
161,pisco,0,PE,1573073941,30,-13.71,-76.2,71.6,20.8
162,namibe,67,AO,1573073941,77,-15.19,12.15,73.36,5.26
163,shimoda,0,JP,1573073941,93,34.7,138.93,48.0,13.53
164,port elizabeth,1,US,1573073941,30,39.31,-74.98,57.99,5.82
165,karpogory,66,RU,1573073942,97,64.0,44.44,16.16,2.57
166,mecca,0,SA,1573073672,57,21.43,39.83,78.69,3.15
167,ust-tsilma,96,RU,1573073942,97,65.44,52.15,11.62,3.47
168,atambua,24,ID,1573073942,77,-9.11,124.89,74.39,2.82
169,kichera,100,RU,1573073942,96,55.93,110.1,14.45,1.81
170,zhigansk,59,RU,1573073943,96,66.77,123.37,-18.26,6.58
171,punta alta,20,AR,1573073943,62,-27.46,-55.82,87.8,8.05
172,coihaique,40,CL,1573073943,67,-45.58,-72.07,51.8,11.41
173,westport,1,US,1573073807,32,41.14,-73.36,55.99,8.05
174,skagen,100,SE,1573073943,86,58.6,13.44,32.0,2.24
175,lorengau,100,PG,1573073943,85,-2.02,147.27,80.35,19.91
176,aykhal,100,RU,1573073944,83,65.95,111.51,-14.81,6.71
177,yangambi,99,CD,1573073944,94,0.77,24.47,70.61,0.98
178,georgetown,40,GY,1573073803,74,6.8,-58.16,86.0,9.17
179,okhotsk,100,RU,1573073944,85,59.36,143.24,23.05,22.66
180,inhambane,0,MZ,1573073944,85,-23.87,35.38,75.02,13.35
181,pangnirtung,90,CA,1573073944,85,66.15,-65.72,21.2,5.55
182,krasnyy chikoy,0,RU,1573073944,78,50.36,108.75,17.65,2.35
183,manta,100,RO,1573073945,90,45.1,24.1,52.97,2.62
184,sao filipe,1,CV,1573073945,78,14.9,-24.5,76.3,20.04
185,vao,100,EE,1573073945,92,59.1,26.19,28.4,10.31
186,kiruna,100,SE,1573073945,85,67.86,20.23,14.0,3.36
187,neuquen,41,AR,1573073945,9,-38.95,-68.06,84.2,14.99
188,ust-nera,100,RU,1573073945,95,64.57,143.24,-2.13,10.63
189,freeport,75,BS,1573073945,70,26.54,-78.7,84.2,17.22
190,yellowknife,20,CA,1573073946,78,62.45,-114.38,15.8,5.82
191,ustikolina,40,BA,1573073946,76,43.58,18.79,53.6,3.36
192,manacapuru,40,BR,1573073946,55,-3.3,-60.62,89.6,10.29
193,lala,100,PH,1573073946,85,7.97,123.75,70.74,4.14
194,longyearbyen,20,NO,1573073946,78,78.22,15.63,8.6,5.82
195,madang,0,CN,1573073947,71,35.32,102.79,33.13,2.01
196,butaritari,22,KI,1573073947,72,3.07,172.79,84.42,10.71
197,bridlington,75,GB,1573073947,93,54.08,-0.19,44.01,9.17
198,gigmoto,67,PH,1573073947,77,13.78,124.39,82.29,11.95
199,bandarbeyla,0,SO,1573073947,77,9.49,50.81,80.53,6.35
200,lookan,100,PH,1573073947,72,5.04,120.1,82.45,5.53
201,jiangyou,85,CN,1573073948,83,31.78,104.73,47.19,1.74
202,pointe michel,75,DM,1573073948,70,15.25,-61.38,86.0,4.7
203,necochea,0,AR,1573073948,32,-38.55,-58.74,84.99,11.01
204,cedar city,1,US,1573073948,19,37.68,-113.06,60.8,4.7
205,tignere,0,CM,1573073948,65,7.37,12.65,70.7,1.92
206,toora-khem,93,RU,1573073948,93,52.47,96.11,25.36,1.39
207,goderich,98,CA,1573073948,89,43.74,-81.71,34.0,8.99
208,grand gaube,40,MU,1573073949,83,-20.01,57.66,75.2,8.05
209,ust-barguzin,100,RU,1573073949,72,53.41,109.03,36.55,11.54
210,moose factory,90,CA,1573073949,62,51.26,-80.61,23.0,16.11
211,mutsu,20,JP,1573073949,86,41.29,141.2,37.4,3.36
212,mantua,40,IT,1573073949,87,45.16,10.79,51.01,3.36
213,shipunovo,0,RU,1573073949,67,52.22,82.26,32.7,11.59
214,provideniya,0,RU,1573073949,63,64.42,-173.23,28.4,6.71
215,pevek,100,RU,1573073950,81,69.7,170.27,24.39,5.59
216,damietta,0,EG,1573073950,83,31.42,31.81,75.2,4.7
217,port keats,86,AU,1573073950,65,-14.25,129.55,78.84,6.29
218,norsup,75,VU,1573073950,94,-16.07,167.38,77.0,2.24
219,severo-kurilsk,63,RU,1573073950,88,50.68,156.12,33.75,9.33
220,sorso,20,IT,1573073950,59,40.8,8.58,60.8,4.7
221,kouqian,5,CN,1573073951,72,43.66,126.5,21.69,8.46
222,kangalassy,100,RU,1573073951,76,62.35,129.97,-5.81,8.95
223,bilibino,100,RU,1573073951,85,68.06,166.44,17.26,3.69
224,upernavik,100,GL,1573073939,95,72.79,-56.15,22.91,5.91
225,hobyo,45,SO,1573073951,78,5.35,48.53,79.88,7.7
226,quelimane,0,MZ,1573073951,78,-17.88,36.89,78.8,3.36
227,victor harbor,75,AU,1573073951,62,-35.55,138.62,59.0,23.04
228,golden,90,US,1573073952,80,39.76,-105.22,43.0,10.29
229,poum,75,MK,1573073952,63,41.28,20.71,62.6,18.34
230,jaen,5,PE,1573073952,83,-5.71,-78.81,69.22,2.73
231,puerto maldonado,20,PE,1573073952,100,-12.59,-69.19,33.8,10.29
232,berlevag,75,NO,1573073952,92,70.86,29.09,23.0,4.7
233,kaputa,16,ZM,1573073952,67,-8.47,29.66,71.6,2.57
234,ust-kuyga,95,RU,1573073952,98,70.0,135.55,-4.69,2.04
235,saint-philippe,20,CA,1573073953,44,45.36,-73.48,39.99,13.87
236,jawhar,6,IN,1573073953,93,19.91,73.23,73.15,3.22
237,flin flon,90,CA,1573073953,56,54.77,-101.88,14.0,9.17
238,fairmont,90,US,1573073953,64,40.64,-97.59,39.0,25.28
239,sobolevo,88,RU,1573073953,93,54.43,31.9,42.96,5.66
240,tasiilaq,20,GL,1573073953,68,65.61,-37.64,26.6,12.75
241,fort nelson,40,CA,1573073953,78,58.81,-122.69,12.2,4.7
242,sept-iles,75,CA,1573073774,50,50.2,-66.38,30.0,25.28
243,camden,1,US,1573073954,30,39.94,-75.12,57.2,5.82
244,la ronge,75,CA,1573073954,66,55.1,-105.3,15.8,6.93
245,narsaq,20,GL,1573073954,58,60.91,-46.05,30.2,4.7
246,richards bay,67,ZA,1573073954,73,-28.77,32.06,76.86,12.35
247,torbay,90,CA,1573073954,93,47.66,-52.73,52.0,23.04
248,upington,0,ZA,1573073954,16,-28.46,21.24,77.0,13.87
249,ahipara,0,NZ,1573073955,94,-35.17,173.16,75.0,12.55
250,pangody,99,RU,1573073955,94,65.85,74.49,5.86,5.48
251,lakatoro,8,VU,1573073955,75,-16.11,167.42,80.22,1.19
252,yar-sale,94,RU,1573073955,89,66.83,70.83,8.42,6.51
253,kalmar,90,SE,1573073719,93,56.66,16.36,37.0,9.17
254,ust-maya,100,RU,1573073955,92,60.42,134.54,-5.5,6.62
255,belyy yar,0,RU,1573073956,85,53.6,91.39,24.8,2.24
256,souillac,75,FR,1573073956,93,45.6,-0.6,51.8,9.17
257,kargasok,100,RU,1573073956,92,59.06,80.87,31.53,11.9
258,acacias,100,CO,1573073957,72,5.51,-74.29,82.09,2.37
259,lavrentiya,4,RU,1573073957,81,65.58,-170.99,26.71,14.56
260,nehe,0,CN,1573073957,42,48.48,124.88,15.58,9.53
261,lodwar,60,KE,1573073957,43,3.12,35.6,86.32,15.17
262,ngunguru,0,NZ,1573073957,95,-35.62,174.5,64.0,3.0
263,marienburg,100,DE,1573073957,93,52.12,9.98,45.0,2.24
264,bata,98,GQ,1573073958,95,1.87,9.77,74.17,1.14
265,trairi,0,BR,1573073958,67,-3.28,-39.27,78.31,6.06
266,boende,100,CD,1573073958,88,-0.28,20.88,73.06,2.06
267,faanui,0,PF,1573073958,81,-16.48,-151.75,80.55,17.36
268,miram shah,89,PK,1573073958,60,33.01,70.07,52.79,2.66
